"X","ghocode","ghodisplay","ghourl","publishstatecode","publishstatedisplay","publishstateurl","yearcode","yeardisplay","yearurl","regioncode","regiondisplay","regionurl","countrycode","countrydisplay","countryurl","agegroupcode","agegroupdisplay","agegroupurl","sexcode","sexdisplay","sexurl","displayvalue","numeric","low","high","comments"
11,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1989,1989,NA,"EUR","Europe",NA,"ALB","Albania",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.1 [23.5-26.7]",25.1,23.5,26.7,""
12,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1990,1990,NA,"EUR","Europe",NA,"ALB","Albania",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.1 [23.5-26.7]",25.1,23.5,26.7,""
13,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1991,1991,NA,"EUR","Europe",NA,"ALB","Albania",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.1 [23.5-26.7]",25.1,23.5,26.7,""
14,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2004,2004,NA,"EUR","Europe",NA,"ALB","Albania",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.0 [24.5-27.4]",26,24.5,27.4,""
15,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2005,2005,NA,"EUR","Europe",NA,"ALB","Albania",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.1 [24.6-27.6]",26.1,24.6,27.6,""
16,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2006,2006,NA,"EUR","Europe",NA,"ALB","Albania",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.2 [24.6-27.7]",26.2,24.6,27.7,""
17,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2007,2007,NA,"EUR","Europe",NA,"ALB","Albania",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.3 [24.7-27.9]",26.3,24.7,27.9,""
18,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1993,1993,NA,"AFR","Africa",NA,"DZA","Algeria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"23.0 [21.9-24.2]",23,21.9,24.2,""
19,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1994,1994,NA,"AFR","Africa",NA,"DZA","Algeria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"23.1 [22.0-24.2]",23.1,22,24.2,""
20,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1995,1995,NA,"AFR","Africa",NA,"DZA","Algeria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"23.2 [22.1-24.2]",23.2,22.1,24.2,""
21,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1996,1996,NA,"AFR","Africa",NA,"DZA","Algeria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"23.2 [22.2-24.2]",23.2,22.2,24.2,""
22,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1981,1981,NA,"AFR","Africa",NA,"AGO","Angola",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"20.9 [17.7-24.4]",20.9,17.7,24.4,""
23,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1982,1982,NA,"AFR","Africa",NA,"AGO","Angola",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"20.9 [17.8-24.2]",20.9,17.8,24.2,""
24,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1983,1983,NA,"AFR","Africa",NA,"AGO","Angola",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"20.9 [17.9-24.1]",20.9,17.9,24.1,""
25,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1984,1984,NA,"AFR","Africa",NA,"AGO","Angola",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"20.9 [18.0-24.1]",20.9,18,24.1,""
26,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1985,1985,NA,"AFR","Africa",NA,"AGO","Angola",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"20.9 [18.1-24.0]",20.9,18.1,24,""
27,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1998,1998,NA,"AFR","Africa",NA,"AGO","Angola",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"21.2 [18.7-23.7]",21.2,18.7,23.7,""
28,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1999,1999,NA,"AFR","Africa",NA,"AGO","Angola",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"21.2 [18.8-23.7]",21.2,18.8,23.7,""
29,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2000,2000,NA,"AFR","Africa",NA,"AGO","Angola",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"21.3 [18.8-23.8]",21.3,18.8,23.8,""
30,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2001,2001,NA,"AFR","Africa",NA,"AGO","Angola",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"21.4 [18.9-23.8]",21.4,18.9,23.8,""
31,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1987,1987,NA,"AMR","Americas",NA,"ARG","Argentina",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.8 [24.9-26.7]",25.8,24.9,26.7,""
32,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1988,1988,NA,"AMR","Americas",NA,"ARG","Argentina",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.8 [25.0-26.7]",25.8,25,26.7,""
33,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1989,1989,NA,"AMR","Americas",NA,"ARG","Argentina",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.9 [25.1-26.7]",25.9,25.1,26.7,""
34,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1990,1990,NA,"AMR","Americas",NA,"ARG","Argentina",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.9 [25.1-26.7]",25.9,25.1,26.7,""
35,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2004,2004,NA,"AMR","Americas",NA,"ARG","Argentina",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"27.1 [26.2-27.9]",27.1,26.2,27.9,""
36,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2005,2005,NA,"AMR","Americas",NA,"ARG","Argentina",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"27.2 [26.2-28.1]",27.2,26.2,28.1,""
37,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2006,2006,NA,"AMR","Americas",NA,"ARG","Argentina",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"27.3 [26.3-28.2]",27.3,26.3,28.2,""
38,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2007,2007,NA,"AMR","Americas",NA,"ARG","Argentina",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"27.4 [26.3-28.5]",27.4,26.3,28.5,""
39,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1992,1992,NA,"EUR","Europe",NA,"ARM","Armenia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.1 [22.8-25.5]",24.1,22.8,25.5,""
40,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1993,1993,NA,"EUR","Europe",NA,"ARM","Armenia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.0 [22.7-25.4]",24,22.7,25.4,""
41,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1994,1994,NA,"EUR","Europe",NA,"ARM","Armenia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.0 [22.8-25.3]",24,22.8,25.3,""
42,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1995,1995,NA,"EUR","Europe",NA,"ARM","Armenia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.0 [22.8-25.3]",24,22.8,25.3,""
43,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1981,1981,NA,"WPR","Western Pacific",NA,"AUS","Australia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.0 [24.3-25.6]",25,24.3,25.6,""
44,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1982,1982,NA,"WPR","Western Pacific",NA,"AUS","Australia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.0 [24.5-25.6]",25,24.5,25.6,""
45,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1983,1983,NA,"WPR","Western Pacific",NA,"AUS","Australia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.1 [24.6-25.6]",25.1,24.6,25.6,""
46,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1984,1984,NA,"WPR","Western Pacific",NA,"AUS","Australia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.2 [24.7-25.7]",25.2,24.7,25.7,""
47,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1998,1998,NA,"WPR","Western Pacific",NA,"AUS","Australia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.6 [26.3-27.0]",26.6,26.3,27,""
48,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1999,1999,NA,"WPR","Western Pacific",NA,"AUS","Australia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.7 [26.4-27.1]",26.7,26.4,27.1,""
49,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2000,2000,NA,"WPR","Western Pacific",NA,"AUS","Australia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.8 [26.5-27.2]",26.8,26.5,27.2,""
50,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2001,2001,NA,"WPR","Western Pacific",NA,"AUS","Australia",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"27.0 [26.6-27.3]",27,26.6,27.3,""
51,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1986,1986,NA,"EUR","Europe",NA,"AUT","Austria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.1 [23.8-26.5]",25.1,23.8,26.5,""
52,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1987,1987,NA,"EUR","Europe",NA,"AUT","Austria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.2 [23.8-26.6]",25.2,23.8,26.6,""
53,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1988,1988,NA,"EUR","Europe",NA,"AUT","Austria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.2 [23.9-26.6]",25.2,23.9,26.6,""
54,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1989,1989,NA,"EUR","Europe",NA,"AUT","Austria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.3 [23.9-26.7]",25.3,23.9,26.7,""
55,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1990,1990,NA,"EUR","Europe",NA,"AUT","Austria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.3 [24.0-26.7]",25.3,24,26.7,""
56,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2003,2003,NA,"EUR","Europe",NA,"AUT","Austria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.3 [24.7-27.9]",26.3,24.7,27.9,""
57,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2004,2004,NA,"EUR","Europe",NA,"AUT","Austria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.4 [24.7-28.0]",26.4,24.7,28,""
58,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2005,2005,NA,"EUR","Europe",NA,"AUT","Austria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.5 [24.8-28.1]",26.5,24.8,28.1,""
59,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2006,2006,NA,"EUR","Europe",NA,"AUT","Austria",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.6 [24.9-28.3]",26.6,24.9,28.3,""
60,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1992,1992,NA,"EUR","Europe",NA,"AZE","Azerbaijan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.6 [23.3-26.1]",24.6,23.3,26.1,""
61,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1993,1993,NA,"EUR","Europe",NA,"AZE","Azerbaijan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.6 [23.3-25.9]",24.6,23.3,25.9,""
62,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1994,1994,NA,"EUR","Europe",NA,"AZE","Azerbaijan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.5 [23.3-25.8]",24.5,23.3,25.8,""
63,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1995,1995,NA,"EUR","Europe",NA,"AZE","Azerbaijan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.5 [23.2-25.7]",24.5,23.2,25.7,""
64,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1981,1981,NA,"AMR","Americas",NA,"BHS","Bahamas",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.1 [21.7-26.7]",24.1,21.7,26.7,""
65,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1982,1982,NA,"AMR","Americas",NA,"BHS","Bahamas",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.2 [21.8-26.7]",24.2,21.8,26.7,""
66,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1983,1983,NA,"AMR","Americas",NA,"BHS","Bahamas",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.3 [22.0-26.7]",24.3,22,26.7,""
67,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1984,1984,NA,"AMR","Americas",NA,"BHS","Bahamas",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.5 [22.2-26.8]",24.5,22.2,26.8,""
68,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1997,1997,NA,"AMR","Americas",NA,"BHS","Bahamas",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.8 [23.7-27.8]",25.8,23.7,27.8,""
69,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1998,1998,NA,"AMR","Americas",NA,"BHS","Bahamas",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.9 [23.8-28.0]",25.9,23.8,28,""
70,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1999,1999,NA,"AMR","Americas",NA,"BHS","Bahamas",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.0 [23.9-28.1]",26,23.9,28.1,""
71,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2000,2000,NA,"AMR","Americas",NA,"BHS","Bahamas",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"26.2 [24.1-28.2]",26.2,24.1,28.2,""
72,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1986,1986,NA,"EMR","Eastern Mediterranean",NA,"BHR","Bahrain",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.7 [23.5-25.8]",24.7,23.5,25.8,""
73,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1987,1987,NA,"EMR","Eastern Mediterranean",NA,"BHR","Bahrain",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.8 [23.7-25.8]",24.8,23.7,25.8,""
74,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1988,1988,NA,"EMR","Eastern Mediterranean",NA,"BHR","Bahrain",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"24.9 [23.9-25.9]",24.9,23.9,25.9,""
