"Country","Indicator","Unit","Date","Value","Code"
"Australia","BMI adults % pre-obese (25.0-29.99)","%","1/1/2000 0:00",39,"AUS"
"Australia","BMI adults % underweight (<18.5)","%","1/1/1999 0:00",1,"AUS"
"Australia","BMI adults % underweight (<18.5)","%","1/1/2000 0:00",1,"AUS"
"Australia","BMI females % normal (18.5-24.99)","%","1/1/1999 0:00",46.3,"AUS"
"Australia","BMI females % normal (18.5-24.99)","%","1/1/2000 0:00",46.3,"AUS"
"Australia","BMI females % normal (18.5-24.99)","%","1/1/2007 0:00",42.3,"AUS"
"Australia","BMI females % normal (18.5-24.99)","%","1/1/2008 0:00",42.3,"AUS"
"Australia","BMI females % obese (>=30.0)","%","1/1/1999 0:00",22.2,"AUS"
"Australia","BMI females % obese (>=30.0)","%","1/1/2000 0:00",22.2,"AUS"
"Australia","BMI females % obese (>=30.0)","%","1/1/2001 0:00",15.3,"AUS"
"Australia","BMI females % obese (>=30.0)","%","1/1/2004 0:00",15.1,"AUS"
"Australia","BMI females % obese (>=30.0)","%","1/1/2005 0:00",15.1,"AUS"
"Australia","BMI females % obese (>=30.0)","%","1/1/2007 0:00",24,"AUS"
"Australia","BMI females % obese (>=30.0)","%","1/1/2008 0:00",24,"AUS"
"Australia","BMI females % overweight (>=25.0)","%","1/1/1999 0:00",52.2,"AUS"
"Australia","BMI females % overweight (>=25.0)","%","1/1/2000 0:00",52.2,"AUS"
"Australia","BMI females % overweight (>=25.0)","%","1/1/2001 0:00",38.2,"AUS"
"Australia","BMI females % overweight (>=25.0)","%","1/1/2004 0:00",40,"AUS"
"Australia","BMI females % overweight (>=25.0)","%","1/1/2005 0:00",40,"AUS"
"Australia","BMI females % overweight (>=25.0)","%","1/1/2007 0:00",54.9,"AUS"
"Australia","BMI females % overweight (>=25.0)","%","1/1/2008 0:00",54.9,"AUS"
"Australia","BMI females % pre-obese (25.0-29.99)","%","1/1/1999 0:00",30,"AUS"
"Australia","BMI females % pre-obese (25.0-29.99)","%","1/1/2000 0:00",30,"AUS"
"Australia","BMI females % pre-obese (25.0-29.99)","%","1/1/2007 0:00",31,"AUS"
"Australia","BMI females % pre-obese (25.0-29.99)","%","1/1/2008 0:00",31,"AUS"
"Australia","BMI females % underweight (<18.5)","%","1/1/1999 0:00",1.5,"AUS"
"Australia","BMI females % underweight (<18.5)","%","1/1/2000 0:00",1.5,"AUS"
"Australia","BMI females % underweight (<18.5)","%","1/1/2007 0:00",2.8,"AUS"
"Australia","BMI females % underweight (<18.5)","%","1/1/2008 0:00",2.8,"AUS"
"Australia","BMI males % normal (18.5-24.99)","%","1/1/1999 0:00",31.8,"AUS"
"Australia","BMI males % normal (18.5-24.99)","%","1/1/2000 0:00",31.8,"AUS"
"Australia","BMI males % normal (18.5-24.99)","%","1/1/2007 0:00",31,"AUS"
"Australia","BMI males % normal (18.5-24.99)","%","1/1/2008 0:00",31,"AUS"
"Australia","BMI males % obese (>=30.0)","%","1/1/1999 0:00",19.4,"AUS"
"Australia","BMI males % obese (>=30.0)","%","1/1/2000 0:00",19.4,"AUS"
"Australia","BMI males % obese (>=30.0)","%","1/1/2001 0:00",14.8,"AUS"
"Australia","BMI males % obese (>=30.0)","%","1/1/2004 0:00",17.8,"AUS"
"Australia","BMI males % obese (>=30.0)","%","1/1/2005 0:00",17.8,"AUS"
"Australia","BMI males % obese (>=30.0)","%","1/1/2007 0:00",25.6,"AUS"
"Australia","BMI males % obese (>=30.0)","%","1/1/2008 0:00",25.6,"AUS"
"Australia","BMI males % overweight (>=25.0)","%","1/1/1999 0:00",67.7,"AUS"
"Australia","BMI males % overweight (>=25.0)","%","1/1/2000 0:00",67.7,"AUS"
"Australia","BMI males % overweight (>=25.0)","%","1/1/2001 0:00",54.5,"AUS"
"Australia","BMI males % overweight (>=25.0)","%","1/1/2004 0:00",58.3,"AUS"
"Australia","BMI males % overweight (>=25.0)","%","1/1/2005 0:00",58.3,"AUS"
"Australia","BMI males % overweight (>=25.0)","%","1/1/2007 0:00",67.7,"AUS"
"Australia","BMI males % overweight (>=25.0)","%","1/1/2008 0:00",67.7,"AUS"
"Australia","BMI males % pre-obese (25.0-29.99)","%","1/1/1999 0:00",48.3,"AUS"
"Australia","BMI males % pre-obese (25.0-29.99)","%","1/1/2000 0:00",48.3,"AUS"
"Australia","BMI males % pre-obese (25.0-29.99)","%","1/1/2007 0:00",42.1,"AUS"
"Australia","BMI males % pre-obese (25.0-29.99)","%","1/1/2008 0:00",42.1,"AUS"
"Australia","BMI males % underweight (<18.5)","%","1/1/1999 0:00",0.5,"AUS"
"Australia","BMI males % underweight (<18.5)","%","1/1/2000 0:00",0.5,"AUS"
"Australia","BMI males % underweight (<18.5)","%","1/1/2007 0:00",1.3,"AUS"
"Australia","BMI males % underweight (<18.5)","%","1/1/2008 0:00",1.3,"AUS"
"Austria","BMI adults % normal (18.5-24.99)","%","1/1/1999 0:00",51.7,"AUT"
"Austria","BMI adults % normal (18.5-24.99)","%","1/1/2006 0:00",49.8,"AUT"
"Austria","BMI adults % normal (18.5-24.99)","%","1/1/2007 0:00",49.8,"AUT"
"Austria","BMI adults % normal (18.5-24.99)","%","1/1/2008 0:00",56,"AUT"
"Austria","BMI adults % obese (>=30.0)","%","1/1/1999 0:00",9.1,"AUT"
"Austria","BMI adults % obese (>=30.0)","%","1/1/2006 0:00",12.4,"AUT"
"Austria","BMI adults % obese (>=30.0)","%","1/1/2007 0:00",12.4,"AUT"
"Austria","BMI adults % obese (>=30.0)","%","1/1/2008 0:00",11,"AUT"
"Austria","BMI adults % overweight (>=25.0)","%","1/1/1999 0:00",46.1,"AUT"
"Austria","BMI adults % overweight (>=25.0)","%","1/1/2006 0:00",47.7,"AUT"
"Austria","BMI adults % overweight (>=25.0)","%","1/1/2007 0:00",47.7,"AUT"
"Austria","BMI adults % overweight (>=25.0)","%","1/1/2008 0:00",42,"AUT"
"Austria","BMI adults % pre-obese (25.0-29.99)","%","1/1/1999 0:00",37,"AUT"
"Austria","BMI adults % pre-obese (25.0-29.99)","%","1/1/2006 0:00",35.3,"AUT"
"Austria","BMI adults % pre-obese (25.0-29.99)","%","1/1/2007 0:00",35.3,"AUT"
"Austria","BMI adults % pre-obese (25.0-29.99)","%","1/1/2008 0:00",31,"AUT"
"Austria","BMI adults % underweight (<18.5)","%","1/1/1999 0:00",2.2,"AUT"
"Austria","BMI adults % underweight (<18.5)","%","1/1/2006 0:00",2.6,"AUT"
"Austria","BMI adults % underweight (<18.5)","%","1/1/2007 0:00",2.6,"AUT"
"Austria","BMI adults % underweight (<18.5)","%","1/1/2008 0:00",2,"AUT"
"Austria","BMI females % normal (18.5-24.99)","%","1/1/1999 0:00",66.3,"AUT"
"Austria","BMI females % normal (18.5-24.99)","%","1/1/2006 0:00",55,"AUT"
"Austria","BMI females % normal (18.5-24.99)","%","1/1/2007 0:00",55,"AUT"
"Austria","BMI females % normal (18.5-24.99)","%","1/1/2008 0:00",65,"AUT"
"Austria","BMI females % obese (>=30.0)","%","1/1/1999 0:00",9.1,"AUT"
"Austria","BMI females % obese (>=30.0)","%","1/1/2006 0:00",12.7,"AUT"
"Austria","BMI females % obese (>=30.0)","%","1/1/2007 0:00",12.7,"AUT"
"Austria","BMI females % obese (>=30.0)","%","1/1/2008 0:00",9,"AUT"
"Austria","BMI females % overweight (>=25.0)","%","1/1/1999 0:00",30.4,"AUT"
"Austria","BMI females % overweight (>=25.0)","%","1/1/2006 0:00",41.3,"AUT"
"Austria","BMI females % overweight (>=25.0)","%","1/1/2007 0:00",41.3,"AUT"
"Austria","BMI females % overweight (>=25.0)","%","1/1/2008 0:00",31,"AUT"
"Austria","BMI females % pre-obese (25.0-29.99)","%","1/1/1999 0:00",21,"AUT"
"Austria","BMI females % pre-obese (25.0-29.99)","%","1/1/2006 0:00",29,"AUT"
"Austria","BMI females % pre-obese (25.0-29.99)","%","1/1/2007 0:00",29,"AUT"
"Austria","BMI females % pre-obese (25.0-29.99)","%","1/1/2008 0:00",22,"AUT"
"Austria","BMI females % underweight (<18.5)","%","1/1/1999 0:00",3.3,"AUT"
"Austria","BMI females % underweight (<18.5)","%","1/1/2006 0:00",3.7,"AUT"
"Austria","BMI females % underweight (<18.5)","%","1/1/2007 0:00",3.7,"AUT"
"Austria","BMI females % underweight (<18.5)","%","1/1/2008 0:00",4,"AUT"
"Austria","BMI males % normal (18.5-24.99)","%","1/1/1999 0:00",35.7,"AUT"
"Austria","BMI males % normal (18.5-24.99)","%","1/1/2006 0:00",44.2,"AUT"
"Austria","BMI males % normal (18.5-24.99)","%","1/1/2007 0:00",44.2,"AUT"
"Austria","BMI males % normal (18.5-24.99)","%","1/1/2008 0:00",47,"AUT"
"Austria","BMI males % obese (>=30.0)","%","1/1/1999 0:00",9.1,"AUT"
"Austria","BMI males % obese (>=30.0)","%","1/1/2006 0:00",12,"AUT"
"Austria","BMI males % obese (>=30.0)","%","1/1/2007 0:00",12,"AUT"
"Austria","BMI males % obese (>=30.0)","%","1/1/2008 0:00",13,"AUT"
"Austria","BMI males % overweight (>=25.0)","%","1/1/1999 0:00",63.4,"AUT"
"Austria","BMI males % overweight (>=25.0)","%","1/1/2006 0:00",54.5,"AUT"
"Austria","BMI males % overweight (>=25.0)","%","1/1/2007 0:00",54.5,"AUT"
"Austria","BMI males % overweight (>=25.0)","%","1/1/2008 0:00",52,"AUT"
"Austria","BMI males % pre-obese (25.0-29.99)","%","1/1/1999 0:00",54.3,"AUT"
"Austria","BMI males % pre-obese (25.0-29.99)","%","1/1/2006 0:00",42.5,"AUT"
"Austria","BMI males % pre-obese (25.0-29.99)","%","1/1/2007 0:00",42.5,"AUT"
"Austria","BMI males % pre-obese (25.0-29.99)","%","1/1/2008 0:00",39,"AUT"
"Austria","BMI males % underweight (<18.5)","%","1/1/1999 0:00",0.9,"AUT"
"Austria","BMI males % underweight (<18.5)","%","1/1/2006 0:00",1.3,"AUT"
"Austria","BMI males % underweight (<18.5)","%","1/1/2007 0:00",1.3,"AUT"
"Austria","BMI males % underweight (<18.5)","%","1/1/2008 0:00",1,"AUT"
"Azerbaijan","BMI females % moderate and severe thinness (<=17)","%","1/1/2006 0:00",1.2,"AZE"
"Azerbaijan","BMI females % normal (18.5-24.99)","%","1/1/2006 0:00",47.7,"AZE"
"Azerbaijan","BMI females % obese (>=30.0)","%","1/1/2001 0:00",12.4,"AZE"
"Azerbaijan","BMI females % obese (>=30.0)","%","1/1/2006 0:00",17.9,"AZE"
"Azerbaijan","BMI females % overweight (>=25.0)","%","1/1/2001 0:00",37.5,"AZE"
"Azerbaijan","BMI females % overweight (>=25.0)","%","1/1/2006 0:00",47.4,"AZE"
"Azerbaijan","BMI females % pre-obese (25.0-29.99)","%","1/1/2006 0:00",30,"AZE"
"Azerbaijan","BMI females % underweight (<18.5)","%","1/1/2006 0:00",4.8,"AZE"
"Azerbaijan","BMI males % moderate and severe thinness (<=17)","%","1/1/2006 0:00",0.9,"AZE"
"Azerbaijan","BMI males % normal (18.5-24.99)","%","1/1/2006 0:00",54.8,"AZE"
"Azerbaijan","BMI males % obese (>=30.0)","%","1/1/2006 0:00",4.9,"AZE"
"Azerbaijan","BMI males % overweight (>=25.0)","%","1/1/2006 0:00",43.1,"AZE"
"Azerbaijan","BMI males % pre-obese (25.0-29.99)","%","1/1/2006 0:00",38.3,"AZE"
"Azerbaijan","BMI males % underweight (<18.5)","%","1/1/2006 0:00",2.1,"AZE"
"Bahrain","BMI adults % obese (>=30.0)","%","1/1/1999 0:00",28.9,"BHR"
"Bahrain","BMI adults % overweight (>=25.0)","%","1/1/1999 0:00",61.2,"BHR"
"Bahrain","BMI adults % pre-obese (25.0-29.99)","%","1/1/1999 0:00",32.4,"BHR"
"Bahrain","BMI females % obese (>=30.0)","%","1/1/1999 0:00",34.1,"BHR"
"Bahrain","BMI females % overweight (>=25.0)","%","1/1/1999 0:00",62.4,"BHR"
"Bahrain","BMI females % pre-obese (25.0-29.99)","%","1/1/1999 0:00",28,"BHR"
"Bahrain","BMI males % obese (>=30.0)","%","1/1/1999 0:00",23.3,"BHR"
"Bahrain","BMI males % overweight (>=25.0)","%","1/1/1999 0:00",60,"BHR"
"Bahrain","BMI males % pre-obese (25.0-29.99)","%","1/1/1999 0:00",36.7,"BHR"
"Bangladesh","BMI females % moderate and severe thinness (<=17)","%","1/1/2007 0:00",11.7,"BGD"
"Bangladesh","BMI females % normal (18.5-24.99)","%","1/1/2003 0:00",56.8,"BGD"
"Bangladesh","BMI females % normal (18.5-24.99)","%","1/1/2007 0:00",58.5,"BGD"
"Bangladesh","BMI females % obese (>=30.0)","%","1/1/1999 0:00",0.7,"BGD"
"Bangladesh","BMI females % obese (>=30.0)","%","1/1/2000 0:00",0.7,"BGD"
"Bangladesh","BMI females % obese (>=30.0)","%","1/1/2007 0:00",1.7,"BGD"
"Bangladesh","BMI females % overweight (>=25.0)","%","1/1/1999 0:00",4.5,"BGD"
"Bangladesh","BMI females % overweight (>=25.0)","%","1/1/2000 0:00",4.5,"BGD"
"Bangladesh","BMI females % overweight (>=25.0)","%","1/1/2003 0:00",8.9,"BGD"
"Bangladesh","BMI females % overweight (>=25.0)","%","1/1/2007 0:00",11.8,"BGD"
"Bangladesh","BMI females % pre-obese (25.0-29.99)","%","1/1/2007 0:00",10,"BGD"
"Bangladesh","BMI females % underweight (<18.5)","%","1/1/1999 0:00",45.4,"BGD"
"Bangladesh","BMI females % underweight (<18.5)","%","1/1/2000 0:00",45.4,"BGD"
"Bangladesh","BMI females % underweight (<18.5)","%","1/1/2003 0:00",34.3,"BGD"
"Bangladesh","BMI females % underweight (<18.5)","%","1/1/2005 0:00",32.2,"BGD"
"Bangladesh","BMI females % underweight (<18.5)","%","1/1/2007 0:00",29.7,"BGD"
"Barbados","BMI adults % overweight (>=25.0)","%","1/1/2000 0:00",60.4,"BRB"
"Barbados","BMI adults % overweight (>=25.0)","%","1/1/2001 0:00",60.4,"BRB"
"Barbados","BMI adults % underweight (<18.5)","%","1/1/2000 0:00",3.2,"BRB"
"Barbados","BMI adults % underweight (<18.5)","%","1/1/2001 0:00",3.2,"BRB"
"Barbados","BMI females % overweight (>=25.0)","%","1/1/2000 0:00",63.8,"BRB"
"Barbados","BMI females % overweight (>=25.0)","%","1/1/2001 0:00",63.8,"BRB"
"Barbados","BMI females % underweight (<18.5)","%","1/1/2000 0:00",3.3,"BRB"
"Barbados","BMI females % underweight (<18.5)","%","1/1/2001 0:00",3.3,"BRB"
"Barbados","BMI males % overweight (>=25.0)","%","1/1/2000 0:00",55.8,"BRB"
"Barbados","BMI males % overweight (>=25.0)","%","1/1/2001 0:00",55.8,"BRB"
"Barbados","BMI males % underweight (<18.5)","%","1/1/2000 0:00",3.1,"BRB"
"Barbados","BMI males % underweight (<18.5)","%","1/1/2001 0:00",3.1,"BRB"
"Belgium","BMI adults % normal (18.5-24.99)","%","1/1/2004 0:00",55.3,"BEL"
"Belgium","BMI adults % obese (>=30.0)","%","1/1/2001 0:00",10.7,"BEL"
"Belgium","BMI adults % obese (>=30.0)","%","1/1/2004 0:00",10.8,"BEL"
"Belgium","BMI adults % overweight (>=25.0)","%","1/1/2004 0:00",44.1,"BEL"
"Belgium","BMI adults % pre-obese (25.0-29.99)","%","1/1/2004 0:00",30.2,"BEL"
"Belgium","BMI adults % underweight (<18.5)","%","1/1/2004 0:00",3.8,"BEL"
"Belgium","BMI females % normal (18.5-24.99)","%","1/1/2004 0:00",60,"BEL"
"Belgium","BMI females % obese (>=30.0)","%","1/1/2001 0:00",11,"BEL"
"Belgium","BMI females % obese (>=30.0)","%","1/1/2004 0:00",13.4,"BEL"
"Belgium","BMI females % overweight (>=25.0)","%","1/1/2004 0:00",37.8,"BEL"
"Belgium","BMI females % pre-obese (25.0-29.99)","%","1/1/2004 0:00",24,"BEL"
"Belgium","BMI females % underweight (<18.5)","%","1/1/2004 0:00",5.3,"BEL"
"Belgium","BMI males % normal (18.5-24.99)","%","1/1/2004 0:00",48.1,"BEL"
"Belgium","BMI males % obese (>=30.0)","%","1/1/2001 0:00",10.3,"BEL"
"Belgium","BMI males % obese (>=30.0)","%","1/1/2004 0:00",9.9,"BEL"
"Belgium","BMI males % overweight (>=25.0)","%","1/1/2004 0:00",50.6,"BEL"
"Belgium","BMI males % pre-obese (25.0-29.99)","%","1/1/2004 0:00",37.5,"BEL"
"Belgium","BMI males % underweight (<18.5)","%","1/1/2004 0:00",2.6,"BEL"
"Benin","BMI females % moderate and severe thinness (<=17)","%","1/1/2006 0:00",2.3,"BEN"
"Benin","BMI females % normal (18.5-24.99)","%","1/1/2001 0:00",70.2,"BEN"
"Benin","BMI females % normal (18.5-24.99)","%","1/1/2006 0:00",71.8,"BEN"
"Benin","BMI females % obese (>=30.0)","%","1/1/2001 0:00",6.1,"BEN"
"Benin","BMI females % obese (>=30.0)","%","1/1/2006 0:00",5.8,"BEN"
"Benin","BMI females % overweight (>=25.0)","%","1/1/2001 0:00",19.1,"BEN"
"Benin","BMI females % overweight (>=25.0)","%","1/1/2006 0:00",19,"BEN"
"Benin","BMI females % pre-obese (25.0-29.99)","%","1/1/2001 0:00",13,"BEN"
"Benin","BMI females % pre-obese (25.0-29.99)","%","1/1/2006 0:00",13,"BEN"
"Benin","BMI females % underweight (<18.5)","%","1/1/2001 0:00",10.7,"BEN"
"Benin","BMI females % underweight (<18.5)","%","1/1/2006 0:00",9.2,"BEN"
"Bolivia (Plurinational State of)","BMI females % moderate and severe thinness (<=17)","%","1/1/2008 0:00",0.3,"BOL"
"Bolivia (Plurinational State of)","BMI females % normal (18.5-24.99)","%","1/1/2003 0:00",52.6,"BOL"
"Bolivia (Plurinational State of)","BMI females % normal (18.5-24.99)","%","1/1/2008 0:00",48.3,"BOL"
"Bolivia (Plurinational State of)","BMI females % obese (>=30.0)","%","1/1/2003 0:00",15.1,"BOL"
"Bolivia (Plurinational State of)","BMI females % obese (>=30.0)","%","1/1/2008 0:00",17.4,"BOL"
"Bolivia (Plurinational State of)","BMI females % overweight (>=25.0)","%","1/1/2003 0:00",45.5,"BOL"
"Bolivia (Plurinational State of)","BMI females % overweight (>=25.0)","%","1/1/2008 0:00",49.7,"BOL"
"Bolivia (Plurinational State of)","BMI females % pre-obese (25.0-29.99)","%","1/1/2003 0:00",30,"BOL"
"Bolivia (Plurinational State of)","BMI females % pre-obese (25.0-29.99)","%","1/1/2008 0:00",32,"BOL"
"Bolivia (Plurinational State of)","BMI females % underweight (<18.5)","%","1/1/2003 0:00",1.9,"BOL"
"Bolivia (Plurinational State of)","BMI females % underweight (<18.5)","%","1/1/2008 0:00",2,"BOL"
"Bosnia and Herzegovina","BMI adults % obese (>=30.0)","%","1/1/2002 0:00",21.7,"BIH"
"Bosnia and Herzegovina","BMI adults % overweight (>=25.0)","%","1/1/2002 0:00",62.9,"BIH"
"Bosnia and Herzegovina","BMI females % obese (>=30.0)","%","1/1/2002 0:00",25.2,"BIH"
"Bosnia and Herzegovina","BMI females % overweight (>=25.0)","%","1/1/2002 0:00",61.4,"BIH"
"Bosnia and Herzegovina","BMI males % obese (>=30.0)","%","1/1/2002 0:00",16.5,"BIH"
"Bosnia and Herzegovina","BMI males % overweight (>=25.0)","%","1/1/2002 0:00",65.1,"BIH"
"Brazil","BMI adults % normal (18.5-24.99)","%","1/1/2002 0:00",55.4,"BRA"
"Brazil","BMI adults % normal (18.5-24.99)","%","1/1/2003 0:00",55.4,"BRA"
"Brazil","BMI adults % obese (>=30.0)","%","1/1/2002 0:00",11.1,"BRA"
"Brazil","BMI adults % obese (>=30.0)","%","1/1/2003 0:00",11.1,"BRA"
"Brazil","BMI adults % overweight (>=25.0)","%","1/1/2002 0:00",40.6,"BRA"
"Brazil","BMI adults % overweight (>=25.0)","%","1/1/2003 0:00",40.6,"BRA"
"Brazil","BMI adults % pre-obese (25.0-29.99)","%","1/1/2002 0:00",29.5,"BRA"
"Brazil","BMI adults % pre-obese (25.0-29.99)","%","1/1/2003 0:00",29.5,"BRA"
"Brazil","BMI adults % underweight (<18.5)","%","1/1/2002 0:00",4,"BRA"
"Brazil","BMI adults % underweight (<18.5)","%","1/1/2003 0:00",4,"BRA"
"Brazil","BMI females % normal (18.5-24.99)","%","1/1/2002 0:00",54.8,"BRA"
"Brazil","BMI females % normal (18.5-24.99)","%","1/1/2003 0:00",54.8,"BRA"
"Brazil","BMI females % obese (>=30.0)","%","1/1/2002 0:00",13.1,"BRA"
"Brazil","BMI females % obese (>=30.0)","%","1/1/2003 0:00",13.1,"BRA"
"Brazil","BMI females % obese (>=30.0)","%","1/1/2006 0:00",16,"BRA"
"Brazil","BMI females % obese (>=30.0)","%","1/1/2007 0:00",16,"BRA"
"Brazil","BMI females % overweight (>=25.0)","%","1/1/2002 0:00",40,"BRA"
"Brazil","BMI females % overweight (>=25.0)","%","1/1/2003 0:00",40,"BRA"
"Brazil","BMI females % overweight (>=25.0)","%","1/1/2006 0:00",43,"BRA"
"Brazil","BMI females % overweight (>=25.0)","%","1/1/2007 0:00",43,"BRA"
"Brazil","BMI females % pre-obese (25.0-29.99)","%","1/1/2002 0:00",27,"BRA"
"Brazil","BMI females % pre-obese (25.0-29.99)","%","1/1/2003 0:00",27,"BRA"
"Brazil","BMI females % underweight (<18.5)","%","1/1/2002 0:00",5.2,"BRA"
"Brazil","BMI females % underweight (<18.5)","%","1/1/2003 0:00",5.2,"BRA"
"Brazil","BMI females % underweight (<18.5)","%","1/1/2006 0:00",3.5,"BRA"
"Brazil","BMI females % underweight (<18.5)","%","1/1/2007 0:00",3.5,"BRA"
"Brazil","BMI males % normal (18.5-24.99)","%","1/1/2002 0:00",56.1,"BRA"
"Brazil","BMI males % normal (18.5-24.99)","%","1/1/2003 0:00",56.1,"BRA"
"Brazil","BMI males % obese (>=30.0)","%","1/1/2002 0:00",8.9,"BRA"
"Brazil","BMI males % obese (>=30.0)","%","1/1/2003 0:00",8.9,"BRA"
"Brazil","BMI males % overweight (>=25.0)","%","1/1/2002 0:00",41.1,"BRA"
"Brazil","BMI males % overweight (>=25.0)","%","1/1/2003 0:00",41.1,"BRA"
"Brazil","BMI males % pre-obese (25.0-29.99)","%","1/1/2002 0:00",32.2,"BRA"
"Brazil","BMI males % pre-obese (25.0-29.99)","%","1/1/2003 0:00",32.2,"BRA"
"Brazil","BMI males % underweight (<18.5)","%","1/1/2002 0:00",2.8,"BRA"
"Brazil","BMI males % underweight (<18.5)","%","1/1/2003 0:00",2.8,"BRA"
"Bulgaria","BMI adults % normal (18.5-24.99)","%","1/1/2001 0:00",50.1,"BGR"
"Bulgaria","BMI adults % obese (>=30.0)","%","1/1/2001 0:00",12.4,"BGR"
"Bulgaria","BMI adults % overweight (>=25.0)","%","1/1/2001 0:00",46,"BGR"
"Bulgaria","BMI adults % pre-obese (25.0-29.99)","%","1/1/2001 0:00",33.6,"BGR"
"Bulgaria","BMI adults % underweight (<18.5)","%","1/1/2001 0:00",3.9,"BGR"
"Bulgaria","BMI females % normal (18.5-24.99)","%","1/1/2001 0:00",51.8,"BGR"
"Bulgaria","BMI females % obese (>=30.0)","%","1/1/2001 0:00",13.5,"BGR"
